iter	RMSE
0	1.168661483
1	1.140546165
2	1.112982429
3	1.08679265
4	1.061612697
5	1.036845886
6	1.016608463
7	0.9982363436
8	0.9781439152
9	0.9614418002
10	0.9438533582
11	0.9278413727
12	0.9111956585
13	0.8957365863
14	0.8813412847
15	0.8678377406
16	0.8553351682
17	0.8424611901
18	0.8307199131
19	0.8201014177
20	0.8106606562
21	0.799226377
22	0.7890607449
23	0.7798644675
24	0.7715050056
25	0.7628848128
26	0.7548521679
27	0.7471270531
28	0.7400515178
29	0.7332325118
30	0.7266332645
31	0.7205054112
32	0.7139744942
33	0.7079146736
34	0.7024778776
35	0.6960603829
36	0.6904738633
37	0.685188117
38	0.6801286545
39	0.6756920261
40	0.6708447671
41	0.6664543952
42	0.6615942341
43	0.6574134599
44	0.6535744751
45	0.6494023774
46	0.645982165
47	0.6421107693
48	0.6381260836
49	0.6342590314
50	0.6311176469
51	0.6281924358
52	0.6255322858
53	0.6222214121
54	0.6192458222
55	0.6163913481
56	0.6135444929
57	0.6107191416
58	0.6082885906
59	0.605848551
60	0.6033092448
61	0.6010203612
62	0.5985361851
63	0.5964821359
64	0.5937740546
65	0.5912491149
66	0.588554455
67	0.5864651926
68	0.5843168198
69	0.583143367
70	0.5808236063
71	0.5790687151
72	0.5770694053
73	0.5751733882
74	0.5733080454
75	0.5719102563
76	0.5699833637
77	0.5684162143
78	0.5666722246
79	0.564839943
80	0.5630355819
81	0.5609523739
82	0.5590101158
83	0.5574705646
84	0.5562964537
85	0.5549710888
86	0.5531965914
87	0.5518516595
88	0.5504647744
89	0.5486738941
90	0.5475780975
91	0.5466257945
92	0.5448440027
93	0.5435980861
94	0.5424685434
95	0.541288577
96	0.5405256889
97	0.5394430251
98	0.5381537962
99	0.5364546072
100	0.5352135351
101	0.5336289097
102	0.5318834209
103	0.5305624037
104	0.5293119298
105	0.5281409595
106	0.5266209179
107	0.5253674528
108	0.5235356987
109	0.5226846598
110	0.5215876077
111	0.5206245555
112	0.519527539
113	0.5184702867
114	0.5176649832
115	0.5159515866
116	0.5152460995
117	0.5141561875
118	0.5130571427
119	0.5117458116
120	0.5110636386
121	0.5103376196
122	0.5096264018
123	0.5089179252
124	0.5073135531
125	0.5060985189
126	0.5052571787
127	0.5045999494
128	0.503135547
129	0.5017969566
130	0.5007097328
131	0.4996976514
132	0.4981997255
133	0.497472798
134	0.4964135562
135	0.4954514222
136	0.494613697
137	0.4937208248
138	0.491989749
139	0.4911435345
140	0.4900682702
141	0.4889447351
142	0.4880254287
143	0.4871588573
144	0.4865139978
145	0.4857063626
146	0.4850070898
147	0.4841554743
148	0.4827612259
149	0.481966715
150	0.4812714104
151	0.4803004573
152	0.4793106112
153	0.4787637786
154	0.4781220548
155	0.4770715164
156	0.4758401361
157	0.4751900674
158	0.4743918016
159	0.4733749205
160	0.4723418649
161	0.4711494355
162	0.4702646194
163	0.4693162531
164	0.4675963706
165	0.4665326979
166	0.4658695273
167	0.4645779623
168	0.4635285636
169	0.4624585104
170	0.4615444827
171	0.460934202
172	0.4602441474
173	0.459264959
174	0.4583513905
175	0.457361934
176	0.4565432467
177	0.4558100543
178	0.453999616
179	0.4531650479
180	0.4525612899
181	0.4519078586
182	0.4513439789
183	0.4501589838
184	0.4494000044
185	0.4488937287
186	0.4483544099
187	0.4472442515
188	0.446467033
189	0.4458263471
190	0.4443655114
191	0.4435651024
192	0.442529206
193	0.4421206804
194	0.4413719204
195	0.4403703727
196	0.4394285737
197	0.4388145136
198	0.4376174681
199	0.4369321511
200	0.4360449449
201	0.435126881
202	0.4341490616
203	0.4332133146
204	0.4321519924
205	0.4311472874
206	0.4303219828
207	0.4298003045
208	0.4284684051
209	0.4275723067
210	0.4268141508
211	0.4258279658
212	0.4248328018
213	0.424055848
214	0.4228663254
215	0.4220581792
216	0.4209058615
217	0.4203640129
218	0.4192927682
219	0.4182557564
220	0.4176426224
221	0.4172575191
222	0.4165801181
223	0.4162525717
224	0.4155764229
225	0.4147788514
226	0.4135892884
227	0.4132920622
228	0.4122904952
229	0.4117647933
230	0.4110232043
231	0.4104028251
232	0.4091585432
233	0.4083918939
234	0.4073142068
235	0.4064419408
236	0.4055759193
237	0.4051537932
238	0.4045062449
239	0.4038675392
240	0.4030781563
241	0.4025321497
242	0.4019788778
243	0.4009131113
244	0.400202902
245	0.3995522825
246	0.3986233316
247	0.3979297805
248	0.3974592858
249	0.3967809101
250	0.3960508813
251	0.3953692681
252	0.3944054955
253	0.3938228607
254	0.3927561657
255	0.391890044
256	0.3908855144
257	0.3902282674
258	0.3895323082
259	0.3884482477
260	0.3875736958
261	0.3865951387
262	0.3859674621
263	0.3851520686
264	0.3844867749
265	0.3839180478
266	0.383369493
267	0.3826260018
268	0.3817088125
269	0.3805086938
270	0.3798234492
271	0.3787335455
272	0.3779199289
273	0.3771194791
274	0.3766099345
275	0.3757136079
276	0.3750377458
277	0.37422661
278	0.3732186939
279	0.3723700358
280	0.3715138088
281	0.3708266677
282	0.3699979679
283	0.3694149562
284	0.368376015
285	0.3676166933
286	0.3669700024
287	0.366426952
288	0.3659665956
289	0.3652813967
290	0.3647750022
291	0.3641677069
292	0.3634300905
293	0.3625036059
294	0.3616512684
295	0.3609867209
296	0.3603642829
297	0.3599874668
298	0.3591837593
299	0.3583786484
300	0.3575768761
301	0.3570581764
302	0.3560783507
303	0.3554048918
304	0.3546991829
305	0.3539943705
306	0.3532252364
307	0.3527674471
308	0.3519084516
309	0.3511798874
