iter	Passed	Remaining
0	5	7145
1	10	6494
2	15	6160
3	20	6052
4	24	5953
5	29	5949
6	35	5966
7	39	5959
8	44	5923
9	49	5893
10	54	5883
11	59	5887
12	64	5895
13	69	5881
14	74	5888
15	79	5876
16	84	5852
17	88	5841
18	93	5829
19	98	5798
20	102	5779
21	107	5758
22	112	5731
23	116	5732
24	121	5713
25	126	5705
26	130	5678
27	135	5653
28	139	5640
29	144	5617
30	148	5609
31	153	5593
32	157	5584
33	162	5585
34	167	5577
35	172	5570
36	176	5560
37	182	5567
38	186	5559
39	191	5549
40	195	5532
41	200	5520
42	205	5518
43	209	5515
44	214	5517
45	219	5506
46	223	5493
47	228	5492
48	233	5487
49	238	5478
50	242	5467
51	247	5458
52	252	5460
53	256	5446
54	261	5435
55	265	5432
56	270	5430
57	275	5424
58	280	5425
59	285	5423
60	290	5421
61	295	5421
62	300	5421
63	305	5421
64	310	5428
65	315	5424
66	320	5418
67	324	5408
68	330	5409
69	335	5409
70	339	5403
71	344	5397
72	348	5387
73	353	5379
74	358	5370
75	362	5368
76	367	5363
77	372	5360
78	377	5353
79	381	5346
80	386	5343
81	391	5337
82	396	5330
83	400	5326
84	405	5317
85	410	5311
86	414	5306
87	419	5304
88	424	5297
89	429	5294
90	433	5284
91	438	5277
92	442	5272
93	447	5267
94	452	5259
95	457	5259
96	461	5251
97	466	5249
98	471	5245
99	476	5237
100	480	5232
101	485	5229
102	490	5224
103	495	5217
104	499	5211
105	504	5205
106	509	5200
107	513	5194
108	518	5188
109	523	5182
110	527	5175
111	531	5167
112	536	5161
113	540	5153
114	545	5147
115	550	5144
116	555	5138
117	560	5135
118	564	5128
119	568	5119
120	573	5113
121	578	5109
122	582	5104
123	587	5101
124	592	5097
125	597	5094
126	602	5091
127	608	5094
128	613	5097
129	618	5090
130	623	5085
131	628	5081
132	632	5074
133	637	5071
134	641	5063
135	646	5060
136	651	5055
137	656	5049
138	660	5042
139	665	5037
140	670	5034
141	674	5028
142	679	5022
143	684	5017
144	689	5013
145	694	5010
146	699	5008
147	704	5006
148	709	5003
149	714	4998
150	719	4996
151	724	4994
152	729	4990
153	734	4986
154	738	4981
155	743	4975
156	748	4969
157	752	4963
158	757	4961
159	762	4953
160	767	4949
161	771	4943
162	775	4936
163	780	4930
164	784	4922
165	789	4916
166	793	4910
167	798	4905
168	803	4899
169	807	4894
170	812	4888
171	817	4884
172	822	4880
173	826	4872
174	831	4867
175	835	4863
176	840	4857
177	845	4852
178	849	4847
179	855	4845
180	859	4839
181	864	4835
182	868	4828
183	873	4823
184	878	4819
185	882	4813
186	887	4809
187	892	4806
188	897	4802
189	902	4799
190	907	4796
191	912	4791
192	917	4787
193	922	4784
194	927	4781
195	932	4776
196	936	4770
197	942	4768
198	947	4765
199	952	4762
200	957	4759
201	962	4754
202	967	4749
203	971	4744
204	977	4744
205	981	4738
206	986	4734
207	991	4730
208	996	4725
209	1001	4720
210	1006	4716
211	1010	4711
212	1015	4707
213	1020	4702
214	1025	4697
215	1030	4695
216	1035	4692
217	1040	4687
218	1045	4683
219	1050	4680
220	1055	4675
221	1060	4670
222	1065	4666
223	1070	4662
224	1074	4657
225	1079	4654
226	1084	4650
227	1089	4644
228	1095	4643
229	1100	4640
230	1105	4637
231	1110	4632
232	1114	4627
233	1120	4625
234	1126	4624
235	1131	4623
236	1136	4618
237	1141	4612
238	1146	4608
239	1151	4604
240	1155	4599
241	1161	4596
242	1165	4591
243	1170	4586
244	1175	4583
245	1180	4578
246	1185	4575
247	1190	4570
248	1195	4564
249	1200	4562
250	1205	4556
251	1209	4551
252	1214	4546
253	1219	4541
254	1223	4535
255	1228	4529
256	1234	4530
257	1240	4529
258	1245	4524
259	1249	4519
260	1254	4514
261	1259	4509
262	1264	4504
263	1268	4498
264	1273	4494
265	1278	4488
266	1283	4483
267	1287	4478
268	1292	4473
269	1297	4468
270	1302	4463
271	1307	4460
272	1312	4456
273	1317	4452
274	1322	4449
275	1328	4446
276	1332	4441
277	1338	4437
278	1342	4432
279	1347	4427
280	1352	4423
281	1357	4418
282	1362	4413
283	1367	4410
284	1372	4406
285	1377	4402
286	1382	4396
287	1386	4391
288	1391	4386
289	1396	4381
290	1400	4376
291	1405	4371
292	1410	4366
293	1415	4361
294	1420	4357
295	1425	4353
296	1430	4348
297	1435	4344
298	1440	4340
299	1445	4336
300	1450	4332
301	1455	4327
302	1460	4323
303	1465	4319
304	1470	4314
305	1475	4310
306	1480	4305
307	1484	4299
308	1490	4298
309	1495	4293
310	1500	4288
311	1505	4283
312	1509	4279
313	1515	4274
314	1520	4270
315	1525	4268
316	1530	4263
317	1535	4259
318	1540	4255
319	1546	4251
320	1551	4247
321	1556	4242
322	1561	4238
323	1566	4235
324	1570	4229
325	1576	4225
326	1580	4219
327	1585	4214
328	1590	4209
329	1595	4205
330	1600	4201
331	1605	4196
332	1610	4192
333	1615	4187
334	1620	4183
335	1624	4178
336	1630	4175
337	1635	4171
338	1640	4165
339	1644	4160
340	1649	4155
341	1654	4151
342	1659	4147
343	1664	4142
344	1669	4137
345	1674	4132
346	1679	4127
347	1684	4123
348	1689	4118
349	1693	4113
350	1698	4108
351	1704	4105
352	1709	4101
353	1714	4097
354	1719	4092
355	1724	4088
356	1730	4085
357	1735	4081
358	1740	4077
359	1745	4072
360	1750	4067
361	1755	4062
362	1759	4057
363	1765	4053
364	1769	4048
365	1774	4043
366	1779	4038
367	1784	4034
368	1789	4029
369	1793	4024
370	1798	4019
371	1804	4015
372	1808	4010
373	1813	4005
374	1819	4002
375	1824	3998
376	1830	3995
377	1835	3991
378	1840	3986
379	1845	3982
380	1850	3977
381	1855	3972
382	1860	3968
383	1864	3963
384	1870	3959
385	1875	3954
386	1880	3949
387	1885	3945
388	1889	3939
389	1895	3936
390	1901	3934
391	1906	3929
392	1911	3925
393	1916	3919
394	1921	3915
395	1926	3910
396	1932	3908
397	1937	3904
398	1943	3901
399	1948	3896
400	1953	3893
401	1958	3887
402	1963	3883
403	1968	3878
404	1973	3873
405	1978	3869
406	1983	3865
407	1988	3860
408	1993	3854
409	1998	3850
410	2002	3845
411	2008	3841
412	2013	3836
413	2018	3832
414	2023	3826
415	2027	3821
416	2032	3815
417	2037	3811
418	2042	3807
419	2047	3802
420	2052	3797
421	2057	3793
422	2062	3788
423	2067	3784
424	2072	3779
425	2077	3773
426	2081	3768
427	2086	3763
428	2091	3758
429	2096	3753
430	2101	3748
431	2106	3744
432	2111	3739
433	2115	3734
434	2120	3729
435	2125	3724
436	2130	3719
437	2135	3714
438	2140	3709
439	2145	3705
440	2150	3701
441	2155	3696
442	2160	3691
443	2165	3687
444	2170	3682
445	2175	3677
446	2180	3672
447	2185	3668
448	2189	3662
449	2194	3657
450	2199	3653
451	2205	3649
452	2210	3644
453	2214	3639
454	2219	3634
455	2224	3628
456	2228	3623
457	2233	3619
458	2238	3614
459	2243	3609
460	2248	3604
461	2253	3599
462	2258	3595
463	2263	3590
464	2268	3585
465	2273	3580
466	2278	3575
467	2283	3571
468	2288	3566
469	2293	3562
470	2298	3556
471	2303	3552
472	2309	3550
473	2314	3545
474	2319	3540
475	2324	3535
476	2329	3530
477	2334	3526
478	2339	3521
479	2344	3516
480	2348	3511
481	2354	3506
482	2359	3502
483	2364	3497
484	2369	3492
485	2374	3488
486	2379	3483
487	2384	3479
488	2389	3474
489	2394	3469
490	2399	3465
491	2404	3460
492	2409	3455
493	2414	3451
494	2419	3446
495	2424	3441
496	2430	3437
497	2435	3433
498	2441	3429
499	2446	3424
500	2450	3419
501	2455	3414
502	2460	3409
503	2465	3404
504	2471	3400
505	2476	3396
506	2481	3391
507	2485	3386
508	2490	3381
509	2495	3376
510	2499	3370
511	2504	3365
