model_position,value_segment,prior_mae_eur,prior_medae_eur,prior_p75ae_eur,prior_qae_eur,n_samples,prior_interval_q
DF,5m_to_20m,3864985.999426342,2914496.346256595,5424961.145807155,6091403.258206566,335,0.8
DF,over_20m,11494985.59095251,9857662.433201496,16525533.123021323,17945627.994742442,146,0.8
DF,under_5m,679242.4859517998,359773.636352125,857563.8141336646,1047766.5840923765,920,0.8
FW,5m_to_20m,3516430.1095571695,2787241.612636701,4954457.860388661,5925099.750651697,271,0.8
FW,over_20m,13431803.200012174,10415228.43021153,20226981.485662926,21827039.578829177,150,0.8
FW,under_5m,769603.8178003385,411319.59406144125,1018686.1823355414,1215189.6371387285,582,0.8
GK,5m_to_20m,3948270.8613573224,2905844.9271367695,5200917.697366588,5991211.170898975,63,0.8
GK,over_20m,12766546.070458941,11377337.894170444,16811290.606571738,17962326.07639759,23,0.8
GK,under_5m,773484.3179211604,348233.6192036723,1061914.7910560253,1236929.9049236034,181,0.8
MF,5m_to_20m,4020004.465305053,3131227.1496435087,5380925.153636502,6196962.224367976,303,0.8
MF,over_20m,12119204.869156301,9627439.559687814,17692123.06855617,19361606.80292502,144,0.8
MF,under_5m,813979.2616024399,450493.30533957505,1075270.5039655056,1273535.2778201455,659,0.8
