cohort_type,cohort,k,n_pool,n_labeled,n_eval,positive_rate,precision_at_k,lift_vs_base
league,Belgian Pro League,10,106,106,10,0.6698113207547169,0.0,-0.6698113207547169
league,Belgian Pro League,25,106,106,25,0.6698113207547169,0.2,-0.46981132075471693
league,Belgian Pro League,50,106,106,50,0.6698113207547169,0.6,-0.06981132075471697
league,English Premier League,10,48,48,10,0.75,1.0,0.25
league,English Premier League,25,48,48,25,0.75,1.0,0.25
league,English Premier League,50,48,48,48,0.75,0.75,0.0
league,Eredivisie,10,97,97,10,0.7319587628865979,0.0,-0.7319587628865979
league,Eredivisie,25,97,97,25,0.7319587628865979,0.48,-0.2519587628865979
league,Eredivisie,50,97,97,50,0.7319587628865979,0.74,0.0080412371134021
league,Estonian Meistriliiga,10,71,71,10,0.5633802816901409,0.0,-0.5633802816901409
league,Estonian Meistriliiga,25,71,71,25,0.5633802816901409,0.0,-0.5633802816901409
league,Estonian Meistriliiga,50,71,71,50,0.5633802816901409,0.38,-0.18338028169014087
league,Primeira Liga,10,69,69,10,0.6231884057971014,0.6,-0.023188405797101463
league,Primeira Liga,25,69,69,25,0.6231884057971014,0.84,0.21681159420289853
league,Primeira Liga,50,69,69,50,0.6231884057971014,0.74,0.11681159420289855
league,Scottish Premiership,10,47,47,10,0.8936170212765957,0.7,-0.19361702127659575
league,Scottish Premiership,25,47,47,25,0.8936170212765957,0.88,-0.013617021276595698
league,Scottish Premiership,50,47,47,47,0.8936170212765957,0.8936170212765957,0.0
overall,ALL,10,486,486,10,0.6954732510288066,0.0,-0.6954732510288066
overall,ALL,25,486,486,25,0.6954732510288066,0.0,-0.6954732510288066
overall,ALL,50,486,486,50,0.6954732510288066,0.0,-0.6954732510288066
position,DF,10,159,159,10,0.6666666666666666,0.0,-0.6666666666666666
position,DF,25,159,159,25,0.6666666666666666,0.0,-0.6666666666666666
position,DF,50,159,159,50,0.6666666666666666,0.38,-0.2866666666666666
position,FW,10,133,133,10,0.7218045112781954,0.0,-0.7218045112781954
position,FW,25,133,133,25,0.7218045112781954,0.0,-0.7218045112781954
position,FW,50,133,133,50,0.7218045112781954,0.5,-0.22180451127819545
position,MF,10,173,173,10,0.7225433526011561,0.0,-0.7225433526011561
position,MF,25,173,173,25,0.7225433526011561,0.4,-0.3225433526011561
position,MF,50,173,173,50,0.7225433526011561,0.7,-0.02254335260115614
value_segment,5m_to_20m,10,80,80,10,0.825,0.9,0.07500000000000007
value_segment,5m_to_20m,25,80,80,25,0.825,0.96,0.135
value_segment,5m_to_20m,50,80,80,50,0.825,0.98,0.15500000000000003
value_segment,over_20m,10,71,71,10,0.6619718309859155,1.0,0.3380281690140845
value_segment,over_20m,25,71,71,25,0.6619718309859155,1.0,0.3380281690140845
value_segment,over_20m,50,71,71,50,0.6619718309859155,0.94,0.27802816901408445
value_segment,under_5m,10,335,335,10,0.6716417910447762,0.0,-0.6716417910447762
value_segment,under_5m,25,335,335,25,0.6716417910447762,0.0,-0.6716417910447762
value_segment,under_5m,50,335,335,50,0.6716417910447762,0.0,-0.6716417910447762
