2025-10-29 10:55:40 | INFO     | Trying direct fetch for Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:55:41 | INFO     | Status 200 for https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:55:42 | SUCCESS  | Wrote 5 rows -> data/interim/tm/sample_player_stats.csv
2025-10-29 10:56:09 | INFO     | Trying direct fetch for Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:56:10 | INFO     | Status 200 for https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:56:11 | SUCCESS  | Wrote 5 rows -> data/interim/tm/sample_player_stats.csv
2025-10-29 10:58:17 | INFO     | Trying direct fetch for Jon Gorenc Stankovic (245034) -> https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:58:18 | INFO     | Status 200 for https://www.transfermarkt.com/jon-gorenc-stankovic/leistungsdaten/spieler/245034
2025-10-29 10:58:19 | SUCCESS  | Wrote 5 rows -> data/interim/tm/sample_player_stats.csv
2025-10-29 14:36:20 | INFO     | Trying direct fetch for #3 Aleksa Terzic (404260) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/404260
2025-10-29 14:36:20 | INFO     | Trying direct fetch for #6 Alexandar Borkovic (321050) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/321050
2025-10-29 14:36:20 | INFO     | Trying direct fetch for #1 Alexander Schlager (186374) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/186374
2025-10-29 14:36:20 | INFO     | Trying direct fetch for #91 Anrie Chase (948537) -> https://www.transfermarkt.com/detaillierte-leistungsdaten/spieler/948537
2025-10-29 14:36:29 | INFO     | Trying direct fetch for #3 Aleksa Terzic (404260) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/404260
2025-10-29 14:36:29 | INFO     | Trying direct fetch for #91 Anrie Chase (948537) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/948537
2025-10-29 14:36:29 | INFO     | Trying direct fetch for #6 Alexandar Borkovic (321050) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/321050
2025-10-29 14:36:29 | INFO     | Trying direct fetch for #1 Alexander Schlager (186374) -> https://www.transfermarkt.com/leistungsdatendetails/spieler/186374
2025-10-29 14:36:38 | INFO     | Trying direct fetch for #6 Alexandar Borkovic (321050) -> https://www.transfermarkt.com/leistungsdaten/spieler/321050/saison/ges/
2025-10-29 14:36:38 | INFO     | Trying direct fetch for #91 Anrie Chase (948537) -> https://www.transfermarkt.com/leistungsdaten/spieler/948537/saison/ges/
2025-10-29 14:36:38 | INFO     | Trying direct fetch for #1 Alexander Schlager (186374) -> https://www.transfermarkt.com/leistungsdaten/spieler/186374/saison/ges/
2025-10-29 14:36:38 | INFO     | Trying direct fetch for #3 Aleksa Terzic (404260) -> https://www.transfermarkt.com/leistungsdaten/spieler/404260/saison/ges/
2025-10-29 14:36:46 | INFO     | Trying direct fetch for #6 Alexandar Borkovic (321050) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/321050
2025-10-29 14:36:46 | INFO     | Trying direct fetch for #1 Alexander Schlager (186374) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/186374
2025-10-29 14:36:46 | INFO     | Trying direct fetch for #91 Anrie Chase (948537) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/948537
2025-10-29 14:36:48 | INFO     | Trying direct fetch for #3 Aleksa Terzic (404260) -> https://www.transfermarkt.de/detaillierte-leistungsdaten/spieler/404260
2025-10-29 14:36:55 | INFO     | Trying direct fetch for #91 Anrie Chase (948537) -> https://www.transfermarkt.de/leistungsdatendetails/spieler/948537
