player_id,name,position,nationality,dob,age,market_value_eur,market_value,link,type,dob_age,position_main,position_alt,height_cm,foot,position_group,club,league,season,sofa_goals,sofa_yellowCards,sofa_redCards,sofa_groundDuelsWon,sofa_groundDuelsWonPercentage,sofa_aerialDuelsWon,sofa_aerialDuelsWonPercentage,sofa_successfulDribbles,sofa_successfulDribblesPercentage,sofa_tackles,sofa_assists,sofa_accuratePassesPercentage,sofa_totalDuelsWon,sofa_totalDuelsWonPercentage,sofa_minutesPlayed,sofa_wasFouled,sofa_fouls,sofa_dispossessed,sofa_appearances,sofa_saves,sofa_savedShotsFromInsideTheBox,sofa_savedShotsFromOutsideTheBox,sofa_goalsConcededInsideTheBox,sofa_goalsConcededOutsideTheBox,sofa_highClaims,sofa_successfulRunsOut,sofa_punches,sofa_runsOut,sofa_accurateFinalThirdPasses,sofa_bigChancesCreated,sofa_accuratePasses,sofa_keyPasses,sofa_accurateCrosses,sofa_accurateCrossesPercentage,sofa_accurateLongBalls,sofa_accurateLongBallsPercentage,sofa_interceptions,sofa_clearances,sofa_dribbledPast,sofa_bigChancesMissed,sofa_totalShots,sofa_shotsOnTarget,sofa_blockedShots,sofa_goalConversionPercentage,sofa_hitWoodwork,sofa_offsides,sofa_expectedGoals,sofa_errorLeadToGoal,sofa_errorLeadToShot,sofa_passToAssist,player_name,sofa_player_id,sofa_team_id,sofa_team_name,sofa_matched,source_file,log_market_value,minutes,sofa_goals_per90,sofa_assists_per90,sofa_expectedGoals_per90,sofa_totalShots_per90,sofa_shotsOnTarget_per90,sofa_keyPasses_per90,sofa_accurateFinalThirdPasses_per90,sofa_accuratePasses_per90,sofa_totalDuelsWon_per90,sofa_groundDuelsWon_per90,sofa_aerialDuelsWon_per90,sofa_successfulDribbles_per90,sofa_tackles_per90,sofa_interceptions_per90,sofa_clearances_per90,shot_conversion,assist_to_keypass,dribble_success,duel_consistency,age_sq,season_end_year,is_forward,is_midfielder,is_defender,is_goalkeeper
brooklyn_genesini_655173,Brooklyn Genesini,Back,England,2001-11-18,18,\N,\N,https://www.transfermarkt.com/brooklyn-genesini/profil/spieler/655173,player,18/11/2001 (18),Back,"Defender, Right",180,right,DF,AFC Bournemouth,English Premier League,2019/20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,324,2019,0,0,1,0
brennan_camp_648699,Brennan Camp,Back,Scotland,2000-10-12,19,\N,\N,https://www.transfermarkt.com/brennan-camp/profil/spieler/648699,player,12/10/2000 (19),Back,"Defender, Right",181,right,DF,AFC Bournemouth,English Premier League,2019/20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,361,2019,0,0,1,0
lloyd_kelly_480116,Lloyd Kelly,Back,England,1998-10-06,21,8000000,€8.00m,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,player,06/10/1998 (21),Back,"Defender, Centre",189,left,DF,AFC Bournemouth,English Premier League,2019/20,0,2,0,11,50,11,35.48,2,100,7,0,80.1,22,41.51,638,2,7,3,8,0,0,0,11,4,0,0,0,0,17,0,161,2,1,16.67,10,34.48,6,15,1,0,1,0,1,0,0,0,\N,1,0,0,\N,865167,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,15.894952224644102,638,0,0,\N,0.14106583072100312,0,0.28213166144200624,2.3981191222570533,22.711598746081503,3.1034482758620685,1.5517241379310343,1.5517241379310343,0.28213166144200624,0.9874608150470219,0.8463949843260188,2.1159874608150466,0,0,0.09090909090909091,7.08888888888889,441,2019,0,0,1,0
corey_jordan_435765,Corey Jordan,Back,England,1999-03-04,21,\N,\N,https://www.transfermarkt.com/corey-jordan/profil/spieler/435765,player,04/03/1999 (21),Back,"Defender, Centre",188,right,DF,AFC Bournemouth,English Premier League,2019/20,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,0,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,441,2019,0,0,1,0
chris_mepham_480987,Chris Mepham,Back,Wales,1997-11-05,22,8000000,€8.00m,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,player,05/11/1997 (22),Back,"Defender, Centre",190,right,DF,AFC Bournemouth,English Premier League,2019/20,1,1,0,28,58.33,33,58.93,3,60,20,0,86.6,61,58.65,911,5,11,4,12,0,0,0,17,2,0,0,0,0,22,0,433,1,1,33.33,19,39.58,17,62,3,0,7,2,1,14.29,0,1,\N,1,0,0,\N,865740,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,15.894952224644102,911,0.09879253567508232,0,\N,0.6915477497255763,0.19758507135016465,0.09879253567508232,2.173435784851811,42.777167947310645,6.026344676180022,2.7661909989023052,3.260153677277717,0.29637760702524696,1.9758507135016465,1.6794731064763995,6.125137211855104,0.14285714285714285,0,0.04918032786885246,10.122222222222222,484,2019,0,0,1,0
jack_simpson_419930,Jack Simpson,Back,England,1996-12-18,23,1200000,€1.20m,https://www.transfermarkt.com/jack-simpson/profil/spieler/419930,player,18/12/1996 (23),Back,"Defender, Centre",190,left,DF,AFC Bournemouth,English Premier League,2019/20,0,0,0,10,50,4,66.67,4,80,5,0,69.89,14,53.85,238,1,1,2,4,0,0,0,6,0,0,0,0,0,9,0,65,1,0,0,1,7.14,2,12,6,0,1,0,1,0,0,0,\N,1,0,0,\N,830250,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,13.997832948091215,238,0,0,\N,0.37815126050420167,0,0.37815126050420167,3.403361344537815,24.579831932773107,5.294117647058823,3.7815126050420167,1.5126050420168067,1.5126050420168067,1.8907563025210083,0.7563025210084033,4.53781512605042,0,0,0.2857142857142857,2.6444444444444444,529,2019,0,0,1,0
jack_stacey_249356,Jack Stacey,Back,England,1996-04-06,24,3200000,€3.20m,https://www.transfermarkt.com/jack-stacey/profil/spieler/249356,player,06/04/1996 (24),Back,"Defender, Right",180,right,DF,AFC Bournemouth,English Premier League,2019/20,0,2,0,47,52.81,27,57.45,16,69.57,21,2,74.04,74,54.41,1541,10,10,11,19,0,0,0,23,4,0,0,0,0,113,4,445,10,4,11.11,28,32.18,18,54,14,1,5,2,0,0,0,1,\N,0,1,0,\N,583450,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,14.978661680269907,1541,0,0.11680726800778715,\N,0.2920181700194679,0.11680726800778715,0.5840363400389358,6.599610642439974,25.98961713173264,4.321868916288125,2.7449707981829983,1.5768981181051265,0.9344581440622972,1.2264763140817652,1.0512654120700844,3.153796236210253,0,0.2,0.21621621621621623,17.12222222222222,576,2019,0,0,1,0
nathan_ake_177476,Nathan Aké,Back,Netherlands,1995-02-18,25,28000000,€28.00m,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,player,18/02/1995 (25),Back,"Defender, Centre",180,left,DF,AFC Bournemouth,English Premier League,2019/20,2,2,0,45,69.23,62,49.6,3,100,31,2,87.6,107,56.32,2505,13,9,5,29,0,0,0,40,6,0,0,0,0,79,2,1060,7,0,0,53,48.62,36,147,9,1,25,7,6,8,1,3,\N,0,0,0,\N,149663,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,17.147715103853763,2505,0.0718562874251497,0.0718562874251497,\N,0.8982035928143712,0.25149700598802394,0.25149700598802394,2.838323353293413,38.08383233532934,3.844311377245509,1.6167664670658681,2.2275449101796405,0.10778443113772454,1.1137724550898203,1.2934131736526946,5.281437125748503,0.08,0.2857142857142857,0.028037383177570093,27.833333333333336,625,2019,0,0,1,0
diego_rico_249513,Diego Rico,Back,Spain,1993-02-23,27,8000000,€8.00m,https://www.transfermarkt.com/diego-rico/profil/spieler/249513,player,23/02/1993 (27),Back,"Defender, Left",183,left,DF,AFC Bournemouth,English Premier League,2019/20,0,6,0,96,54.55,33,54.1,13,54.17,61,4,67.28,129,54.43,2334,22,18,21,27,0,0,0,32,6,0,0,0,0,220,5,730,35,44,25.43,57,36.54,84,60,30,0,11,3,4,0,1,2,\N,0,0,2,\N,350560,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,15.894952224644102,2334,0,0.15424164524421594,\N,0.4241645244215938,0.11568123393316196,1.3496143958868894,8.483290488431876,28.14910025706941,4.974293059125964,3.7017994858611827,1.2724935732647815,0.5012853470437018,2.352185089974293,3.2390745501285347,2.313624678663239,0,0.11428571428571428,0.10077519379844961,25.933333333333334,729,2019,0,0,1,0
steve_cook_90836,Steve Cook,Back,England,1991-04-19,29,9500000,€9.50m,https://www.transfermarkt.com/steve-cook/profil/spieler/90836,player,19/04/1991 (29),Back,"Defender, Centre",185,right,DF,AFC Bournemouth,English Premier League,2019/20,1,6,1,38,58.46,115,63.54,3,100,22,0,79.23,153,62.2,2430,15,16,3,29,0,0,0,39,8,0,0,0,0,62,1,1007,4,0,0,78,38.42,44,151,12,0,11,2,4,9.09,1,1,\N,0,1,0,\N,42707,60,Bournemouth,1,data\processed\Clubs combined\english_premier_league_2019-20_with_sofa.csv,16.066802461833923,2430,0.037037037037037035,0,\N,0.4074074074074074,0.07407407407407407,0.14814814814814814,2.2962962962962963,37.2962962962963,5.666666666666666,1.4074074074074074,4.259259259259259,0.1111111111111111,0.8148148148148148,1.6296296296296295,5.592592592592593,0.09090909090909091,0,0.0196078431372549,27.000000000000004,841,2019,0,0,1,0
