player_id,name,position,nationality,dob,age,market_value_eur,market_value,link,type,dob_age,position_main,position_alt,height_cm,foot,position_group,club,league,season,sofa_goals,sofa_yellowCards,sofa_redCards,sofa_groundDuelsWon,sofa_groundDuelsWonPercentage,sofa_aerialDuelsWon,sofa_aerialDuelsWonPercentage,sofa_successfulDribbles,sofa_successfulDribblesPercentage,sofa_tackles,sofa_assists,sofa_accuratePassesPercentage,sofa_totalDuelsWon,sofa_totalDuelsWonPercentage,sofa_minutesPlayed,sofa_wasFouled,sofa_fouls,sofa_dispossessed,sofa_appearances,sofa_saves,sofa_savedShotsFromInsideTheBox,sofa_savedShotsFromOutsideTheBox,sofa_goalsConcededInsideTheBox,sofa_goalsConcededOutsideTheBox,sofa_highClaims,sofa_successfulRunsOut,sofa_punches,sofa_runsOut,sofa_accurateFinalThirdPasses,sofa_bigChancesCreated,sofa_accuratePasses,sofa_keyPasses,sofa_accurateCrosses,sofa_accurateCrossesPercentage,sofa_accurateLongBalls,sofa_accurateLongBallsPercentage,sofa_interceptions,sofa_clearances,sofa_dribbledPast,sofa_bigChancesMissed,sofa_totalShots,sofa_shotsOnTarget,sofa_blockedShots,sofa_goalConversionPercentage,sofa_hitWoodwork,sofa_offsides,sofa_expectedGoals,sofa_errorLeadToGoal,sofa_errorLeadToShot,sofa_passToAssist,player_name,sofa_player_id,sofa_team_id,sofa_team_name,sofa_matched,source_file,log_market_value,minutes,sofa_goals_per90,sofa_assists_per90,sofa_expectedGoals_per90,sofa_totalShots_per90,sofa_shotsOnTarget_per90,sofa_keyPasses_per90,sofa_accurateFinalThirdPasses_per90,sofa_accuratePasses_per90,sofa_totalDuelsWon_per90,sofa_groundDuelsWon_per90,sofa_aerialDuelsWon_per90,sofa_successfulDribbles_per90,sofa_tackles_per90,sofa_interceptions_per90,sofa_clearances_per90,shot_conversion,assist_to_keypass,dribble_success,duel_consistency,age_sq,season_end_year,is_forward,is_midfielder,is_defender,is_goalkeeper
matteo_gabbia_323167,Matteo Gabbia,Back,Italy,1999-10-21,20,2700000,€2.70m,https://www.transfermarkt.com/matteo-gabbia/profil/spieler/323167,player,21/10/1999 (20),Back,"Defender, Centre",185,right,DF,AC Milan,Serie A,2019/20,0,1,0,10,45.45,23,69.7,0,0,7,0,88.17,33,60,678,3,11,0,9,0,0,0,6,2,0,0,0,0,20,0,395,1,0,0,30,55.56,9,19,3,0,4,2,1,0,0,0,\N,0,0,0,\N,826195,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,14.80876270134486,678,0,0,\N,0.5309734513274337,0.26548672566371684,0.13274336283185842,2.6548672566371683,52.43362831858408,4.380530973451328,1.3274336283185841,3.0530973451327434,0,0.929203539823009,1.1946902654867257,2.52212389380531,0,0,0,7.533333333333332,400,2019,0,0,1,0
theo_hernandez_339808,Theo Hernández,Back,France,1997-10-06,22,32000000,€32.00m,https://www.transfermarkt.com/theo-hernandez/profil/spieler/339808,player,06/10/1997 (22),Back,"Defender, Left",184,left,DF,AC Milan,Serie A,2019/20,6,10,0,177,60,47,65.28,57,53.77,56,3,84.31,224,61.04,2818,68,33,21,33,0,0,0,28,10,0,0,0,0,399,6,1386,42,14,16.87,63,54.31,43,49,20,8,50,17,11,12,3,8,\N,0,2,0,\N,788027,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,17.281246492014,2818,0.191625266146203,0.0958126330731015,\N,1.596877217885025,0.5429382540809085,1.341376863023421,12.743080198722499,44.265436479772895,7.154009936124912,5.652945351312988,1.5010645848119235,1.8204400283889284,1.788502484031228,1.3733144073811214,1.5649396735273244,0.12,0.07142857142857142,0.2544642857142857,31.311111111111106,484,2019,0,0,1,0
leo_duarte_312678,Léo Duarte,Back,Brazil,1996-07-17,23,6000000,€6.00m,https://www.transfermarkt.com/leo-duarte/profil/spieler/312678,player,17/07/1996 (23),Back,"Defender, Centre",183,right,DF,AC Milan,Serie A,2019/20,0,2,0,7,50,7,46.67,1,100,4,0,88.14,14,48.28,403,2,3,1,6,0,0,0,5,1,0,0,0,0,4,0,171,0,0,0,7,36.84,3,8,3,0,3,0,3,0,0,0,\N,0,0,0,\N,839982,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,15.607270193858982,403,0,0,\N,0.6699751861042184,0,0,0.8933002481389578,38.188585607940446,3.126550868486352,1.563275434243176,1.563275434243176,0.22332506203473945,0.8933002481389578,0.6699751861042184,1.7866004962779156,0,\N,0.07142857142857142,4.477777777777778,529,2019,0,0,1,0
davide_calabria_262523,Davide Calabria,Back,Italy,1996-12-06,23,9500000,€9.50m,https://www.transfermarkt.com/davide-calabria/profil/spieler/262523,player,06/12/1996 (23),Back,"Defender, Right",176,right,DF,AC Milan,Serie A,2019/20,1,2,2,84,60.87,11,50,10,43.48,52,1,81.11,95,59.38,1621,22,15,3,25,0,0,0,14,6,0,0,0,0,212,0,773,13,14,29.17,63,44.37,21,35,24,0,13,2,1,7.69,1,1,\N,0,1,0,\N,318607,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,16.066802461833923,1621,0.055521283158544106,0.055521283158544106,\N,0.7217766810610734,0.11104256631708821,0.7217766810610734,11.77051202961135,42.91795188155459,5.27452190006169,4.663787785317705,0.6107341147439852,0.5552128315854411,2.8871067242442936,1.1659469463294263,1.9432449105490437,0.07692307692307693,0.07692307692307693,0.10526315789473684,18.011111111111113,529,2019,0,0,1,0
alessio_romagnoli_197747,Alessio Romagnoli,Back,Italy,1995-01-12,25,36000000,€36.00m,https://www.transfermarkt.com/alessio-romagnoli/profil/spieler/197747,player,12/01/1995 (25),Back,"Defender, Centre",185,left,DF,AC Milan,Serie A,2019/20,1,4,0,69,60,79,60.77,2,50,46,0,90.68,148,60.41,3092,22,42,0,35,0,0,0,33,10,0,0,0,0,159,3,1799,11,0,0,133,60.45,56,151,11,1,15,3,1,6.67,1,1,\N,0,1,0,\N,227864,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,17.399029524198163,3092,0.02910737386804657,0,\N,0.43661060802069857,0.08732212160413971,0.3201811125485123,4.628072445019405,52.36416558861578,4.307891332470892,2.0084087968952136,2.299482535575679,0.05821474773609314,1.3389391979301424,1.630012936610608,4.395213454075032,0.06666666666666667,0,0.013513513513513514,34.35555555555556,625,2019,0,0,1,0
andrea_conti_111227,Andrea Conti,Back,Italy,1994-03-02,26,12000000,€12.00m,https://www.transfermarkt.com/andrea-conti/profil/spieler/111227,player,02/03/1994 (26),Back,"Defender, Right",184,right,DF,AC Milan,Serie A,2019/20,0,8,0,69,48.25,13,46.43,7,63.64,41,2,83.6,82,47.95,1727,22,37,8,23,0,0,0,24,5,0,0,0,0,157,2,734,11,6,25,28,36.84,43,36,28,0,1,0,0,0,0,0,\N,0,1,0,\N,139262,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,16.300417291085605,1727,0,0.10422698320787492,\N,0.05211349160393746,0,0.5732484076433121,8.181818181818182,38.2513028372901,4.273306311522871,3.595830920671685,0.677475390851187,0.3647944412275622,2.1366531557614357,2.240880138969311,1.8760856977417486,0,0.18181818181818182,0.08536585365853659,19.188888888888894,676,2019,0,0,1,0
ricardo_rodriguez_86784,Ricardo Rodríguez,Back,Switzerland,1992-08-25,27,5500000,€5.50m,https://www.transfermarkt.com/ricardo-rodriguez/profil/spieler/86784,player,25/08/1992 (27),Back,"Defender, Left",182,left,DF,AC Milan,Serie A,2019/20,0,0,0,9,39.13,6,60,0,0,6,0,88.98,15,45.45,387,3,3,5,5,0,0,0,3,0,0,0,0,0,39,0,210,1,1,20,19,61.29,5,14,4,0,1,0,0,0,0,0,\N,0,0,0,\N,67769,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,15.520258832020865,387,0,0,\N,0.23255813953488372,0,0.23255813953488372,9.069767441860465,48.83720930232558,3.488372093023256,2.0930232558139537,1.3953488372093024,0,1.3953488372093024,1.1627906976744187,3.255813953488372,0,0,0,4.3,729,2019,0,0,1,0
mateo_musacchio_45653,Mateo Musacchio,Back,Argentina,1990-08-26,29,9000000,€9.00m,https://www.transfermarkt.com/mateo-musacchio/profil/spieler/45653,player,26/08/1990 (29),Back,"Defender, Centre",182,right,DF,AC Milan,Serie A,2019/20,0,4,1,26,44.07,35,57.38,3,100,15,0,88.92,61,50.83,1466,10,19,3,18,0,0,0,16,4,0,0,0,0,103,1,891,11,0,0,53,51.96,22,48,13,0,5,0,2,0,0,0,\N,0,0,0,\N,34125,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,16.012735246411598,1466,0,0,\N,0.3069577080491132,0,0.675306957708049,6.323328785811732,54.69986357435198,3.7448840381991815,1.5961800818553888,2.1487039563437924,0.18417462482946795,0.9208731241473397,1.350613915416098,2.946793997271487,0,0,0.04918032786885246,16.288888888888888,841,2019,0,0,1,0
lorenzo_colombo_487843,Lorenzo Colombo,Forward,Italy,2002-03-08,18,\N,\N,https://www.transfermarkt.com/lorenzo-colombo/profil/spieler/487843,player,08/03/2002 (18),Forward,"Attack, Centre",183,left,FW,AC Milan,Serie A,2019/20,0,0,0,0,0,0,0,0,0,0,0,100,0,0,8,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,0,0,0,\N,930191,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,\N,8,0,0,\N,0,0,11.25,11.25,22.5,0,0,0,0,0,0,0,\N,0,\N,\N,324,2019,1,0,0,0
rafael_leao_357164,Rafael Leão,Left Winger,Portugal,1999-06-10,21,20000000,€20.00m,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164,player,10/06/1999 (21),Left Winger,Attack,188,right,FW,AC Milan,Serie A,2019/20,6,0,0,60,48.39,20,32.79,39,63.93,7,1,78.54,80,43.24,1399,15,16,21,31,0,0,0,17,4,0,0,0,0,146,3,333,31,13,35.14,12,75,0,3,6,3,44,16,10,13.64,4,6,\N,0,0,0,\N,851284,2692,Milan,1,data\processed\Clubs combined\italian_serie_a_2019-20_with_sofa.csv,16.811242881518265,1399,0.38598999285203717,0.06433166547533953,\N,2.8305932809149392,1.0293066476054324,1.9942816297355255,9.392423159399572,21.422444603288064,5.146533238027162,3.8598999285203717,1.2866333095067906,2.5089349535382417,0.4503216583273767,0,0.19299499642601858,0.13636363636363635,0.03225806451612903,0.4875,15.544444444444444,441,2019,1,0,0,0
